-29	-19	-17	-27	-13	-28	-22	-6	-16	-15	-18	-20
-8	-13	2	-2	-3	-27	-5	-1	-8	-18	-25	-14
10	10	2	-19	-17	-24	-9	5	0	-21	-20	-24
-32	-41	-17	-23	-24	-11	-7	-12	-18	-11	-19	-17
-17	-11	-33	-35	-31	-37	-33	-25	-22	-22	-30	-28
-64	-29	-23	-44	-41	-50	-28	-27	-19	-19	-22	-5
-41	-45	-41	-28	-27	-39	-15	-31	-18	-25	-26	-24
-65	-47	-31	-37	-33	-20	-18	-27	-19	-32	-25	-37
-42	-42	-47	-28	-21	-20	-8	-10	-7	2	0	-11
-19	15	4	5	-3	-11	-5	-18	-18	-22	-30	-29
-46	-48	-41	-38	-48	-27	-29	-35	-36	-23	-37	-29
-45	-48	-14	-25	-17	-21	-21	-20	-13	-23	-36	1
-24	-14	-35	-34	-24	-18	-26	-18	-24	-15	-49	-27
-67	-50	-23	-32	-34	-22	-12	-22	-17	-15	-16	-36
-54	-31	-21	-40	-29	-43	-31	-26	-22	-16	-24	-21
-43	-42	-29	-22	-23	-24	-16	-15	-1	-10	-15	-11
-22	-15	-29	-32	-19	-13	-5	-8	-3	6	-15	-11
-22	-19	-13	-1	0	-13	-4	-3	-4	-9	-18	-26
-7	-33	-56	-34	-36	-21	-23	-23	-20	-33	-35	-21
-17	-39	-35	-21	-20	-26	-13	-4	-2	0	12	-26
-39	-6	2	-14	-4	-13	-6	-3	2	10	-12	-13
-28	-4	6	-5	-17	-9	-7	-11	-16	-27	-15	-28
-18	-2	-28	-26	-29	-33	-25	-27	-20	-26	-35	-45
-27	-5	-22	-39	-41	-43	-29	-43	-42	-41	-38	-46
-63	-54	-45	-50	-50	-49	-47	-42	-46	-34	-16	-28
-37	-58	-24	-36	-33	-30	-24	-20	-14	-22	-7	-20
-29	-32	-14	-2	-20	-20	-25	-18	-24	-20	-38	-16
-43	-50	-24	-40	-45	-42	-34	-36	-31	-23	-50	-49
-44	-35	-57	-45	-39	-37	-33	-44	-32	-42	-50	-49
-69	-46	-51	-59	-54	-52	-42	-30	-37	-39	-32	-53
-44	-43	-47	-38	-33	-36	-31	-33	-36	-38	-55	-68
-63	-60	-63	-55	-52	-47	-40	-42	-38	-25	-19	-24
-27	-14	-37	-21	-20	-26	-40	-51	-47	-55	-37	-40
-40	-43	-43	-36	-45	-45	-33	-31	-32	-33	-17	-3
2	-13	-22	-27	-19	-21	-23	-13	-13	-5	-20	-9
-19	-1	-9	8	-1	-14	-1	-14	-11	-21	-12	-24
-19	-21	-29	-24	-26	-41	-31	-25	-28	-27	-42	-77
-46	-55	-48	-38	-48	-39	-21	-25	-17	-34	-28	-70
-43	-31	-20	-38	-36	-27	-19	-24	-13	-2	-14	-27
-17	-20	-25	-18	-18	-26	-19	-18	-16	-14	-29	-33
-14	-22	-6	-25	-24	-31	-30	-27	-18	-27	-32	-44
-2	-20	-26	-34	-34	-29	-14	-22	-16	-5	-15	-17
